title,kind,estMonthly,startupCost,hoursPerWeek,notes,url
Gumroad/Ko‑fi – Workshop Replays – Bundle,passive,180,0,1.0,Batch 3 assets/week for workshop replays. Automate posts.,
Gumroad/Ko‑fi – Workshop Replays – Seasonal,passive,90,15,2.0,Batch 3 assets/week for workshop replays. Automate posts.,
Gumroad/Ko‑fi – Workshop Replays – Collab,passive,150,0,1.0,Batch 3 assets/week for workshop replays. Automate posts.,
Gumroad/Ko‑fi – Workshop Replays – Limited,passive,120,15,2.0,Batch 3 assets/week for workshop replays. Automate posts.,
Gumroad/Ko‑fi – Printable Zines – Set A,passive,75,0,1.0,Batch 3 assets/week for printable zines. Automate posts.,
Gumroad/Ko‑fi – Printable Zines – Set B,passive,150,10,1.0,Batch 3 assets/week for printable zines. Automate posts.,
Gumroad/Ko‑fi – Printable Zines – Set C,active,60,25,1.0,Batch 3 assets/week for printable zines. Automate posts.,
Gumroad/Ko‑fi – Printable Zines – Micro,active,120,0,3.0,Batch 3 assets/week for printable zines. Automate posts.,
Gumroad/Ko‑fi – Printable Zines – Starter,passive,90,0,1.0,Batch 3 assets/week for printable zines. Automate posts.,
Gumroad/Ko‑fi – Printable Zines – Deluxe,active,150,0,0.5,Batch 3 assets/week for printable zines. Automate posts.,
Gumroad/Ko‑fi – Printable Zines – Bundle,passive,120,40,1.5,Batch 3 assets/week for printable zines. Automate posts.,
Gumroad/Ko‑fi – Printable Zines – Seasonal,passive,90,0,2.0,Batch 3 assets/week for printable zines. Automate posts.,
Gumroad/Ko‑fi – Printable Zines – Collab,passive,75,0,1.0,Batch 3 assets/week for printable zines. Automate posts.,
Gumroad/Ko‑fi – Printable Zines – Limited,active,150,15,1.0,Batch 3 assets/week for printable zines. Automate posts.,
Gumroad/Ko‑fi – Lesson Notes – Set A,passive,75,10,2.0,Batch 3 assets/week for lesson notes. Automate posts.,
Gumroad/Ko‑fi – Lesson Notes – Set B,active,120,40,1.0,Batch 3 assets/week for lesson notes. Automate posts.,
Gumroad/Ko‑fi – Lesson Notes – Set C,passive,150,10,2.0,Batch 3 assets/week for lesson notes. Automate posts.,
Gumroad/Ko‑fi – Lesson Notes – Micro,passive,120,15,2.0,Batch 3 assets/week for lesson notes. Automate posts.,
Gumroad/Ko‑fi – Lesson Notes – Starter,passive,90,15,3.0,Batch 3 assets/week for lesson notes. Automate posts.,
Gumroad/Ko‑fi – Lesson Notes – Deluxe,passive,150,40,2.0,Batch 3 assets/week for lesson notes. Automate posts.,
Gumroad/Ko‑fi – Lesson Notes – Bundle,passive,75,15,3.0,Batch 3 assets/week for lesson notes. Automate posts.,
Gumroad/Ko‑fi – Lesson Notes – Seasonal,passive,180,0,2.0,Batch 3 assets/week for lesson notes. Automate posts.,
Gumroad/Ko‑fi – Lesson Notes – Collab,active,35,0,1.0,Batch 3 assets/week for lesson notes. Automate posts.,
Gumroad/Ko‑fi – Lesson Notes – Limited,passive,180,15,0.5,Batch 3 assets/week for lesson notes. Automate posts.,
Gumroad/Ko‑fi – Prompt Packs – Set A,active,120,25,1.0,Batch 3 assets/week for prompt packs. Automate posts.,
Gumroad/Ko‑fi – Prompt Packs – Set B,passive,45,15,2.0,Batch 3 assets/week for prompt packs. Automate posts.,
Gumroad/Ko‑fi – Prompt Packs – Set C,passive,120,40,1.5,Batch 3 assets/week for prompt packs. Automate posts.,
Gumroad/Ko‑fi – Prompt Packs – Micro,passive,75,10,0.5,Batch 3 assets/week for prompt packs. Automate posts.,
Gumroad/Ko‑fi – Prompt Packs – Starter,active,90,0,1.0,Batch 3 assets/week for prompt packs. Automate posts.,
Gumroad/Ko‑fi – Prompt Packs – Deluxe,active,60,25,1.0,Batch 3 assets/week for prompt packs. Automate posts.,
Gumroad/Ko‑fi – Prompt Packs – Bundle,active,60,25,1.0,Batch 3 assets/week for prompt packs. Automate posts.,
Gumroad/Ko‑fi – Prompt Packs – Seasonal,active,45,10,1.0,Batch 3 assets/week for prompt packs. Automate posts.,
Gumroad/Ko‑fi – Prompt Packs – Collab,active,75,0,2.0,Batch 3 assets/week for prompt packs. Automate posts.,
Gumroad/Ko‑fi – Prompt Packs – Limited,active,75,0,3.0,Batch 3 assets/week for prompt packs. Automate posts.,
Gumroad/Ko‑fi – Micro Courses – Set A,passive,35,10,2.0,Batch 3 assets/week for micro courses. Automate posts.,
Gumroad/Ko‑fi – Micro Courses – Set B,active,45,40,1.0,Batch 3 assets/week for micro courses. Automate posts.,
Gumroad/Ko‑fi – Micro Courses – Set C,passive,35,15,3.0,Batch 3 assets/week for micro courses. Automate posts.,
Gumroad/Ko‑fi – Micro Courses – Micro,active,150,25,1.0,Batch 3 assets/week for micro courses. Automate posts.,
Gumroad/Ko‑fi – Micro Courses – Starter,passive,180,0,2.0,Batch 3 assets/week for micro courses. Automate posts.,
Gumroad/Ko‑fi – Micro Courses – Deluxe,active,25,10,3.0,Batch 3 assets/week for micro courses. Automate posts.,
Gumroad/Ko‑fi – Micro Courses – Bundle,passive,45,0,1.0,Batch 3 assets/week for micro courses. Automate posts.,
Gumroad/Ko‑fi – Micro Courses – Seasonal,active,180,25,0.5,Batch 3 assets/week for micro courses. Automate posts.,
Gumroad/Ko‑fi – Micro Courses – Collab,passive,150,0,1.0,Batch 3 assets/week for micro courses. Automate posts.,
Gumroad/Ko‑fi – Micro Courses – Limited,active,35,0,1.0,Batch 3 assets/week for micro courses. Automate posts.,
Gumroad/Ko‑fi – Therapy Helpers – Set A,passive,25,10,2.0,Batch 3 assets/week for therapy helpers. Automate posts.,
Gumroad/Ko‑fi – Therapy Helpers – Set B,passive,120,0,3.0,Batch 3 assets/week for therapy helpers. Automate posts.,
Gumroad/Ko‑fi – Therapy Helpers – Set C,passive,90,15,1.0,Batch 3 assets/week for therapy helpers. Automate posts.,
Gumroad/Ko‑fi – Therapy Helpers – Micro,active,180,0,2.0,Batch 3 assets/week for therapy helpers. Automate posts.,
Gumroad/Ko‑fi – Therapy Helpers – Starter,active,150,40,1.5,Batch 3 assets/week for therapy helpers. Automate posts.,
Gumroad/Ko‑fi – Therapy Helpers – Deluxe,passive,75,0,1.0,Batch 3 assets/week for therapy helpers. Automate posts.,
Gumroad/Ko‑fi – Therapy Helpers – Bundle,active,180,15,0.5,Batch 3 assets/week for therapy helpers. Automate posts.,
Gumroad/Ko‑fi – Therapy Helpers – Seasonal,passive,25,0,1.5,Batch 3 assets/week for therapy helpers. Automate posts.,
Gumroad/Ko‑fi – Therapy Helpers – Collab,active,75,0,1.0,Batch 3 assets/week for therapy helpers. Automate posts.,
Gumroad/Ko‑fi – Therapy Helpers – Limited,active,75,0,1.0,Batch 3 assets/week for therapy helpers. Automate posts.,
Gumroad/Ko‑fi – Body Weather Logs – Set A,active,90,0,3.0,Batch 3 assets/week for body weather logs. Automate posts.,
Gumroad/Ko‑fi – Body Weather Logs – Set B,active,180,0,1.5,Batch 3 assets/week for body weather logs. Automate posts.,
Gumroad/Ko‑fi – Body Weather Logs – Set C,active,25,0,1.5,Batch 3 assets/week for body weather logs. Automate posts.,
Gumroad/Ko‑fi – Body Weather Logs – Micro,active,180,0,1.5,Batch 3 assets/week for body weather logs. Automate posts.,
Gumroad/Ko‑fi – Body Weather Logs – Starter,passive,75,25,0.5,Batch 3 assets/week for body weather logs. Automate posts.,
Gumroad/Ko‑fi – Body Weather Logs – Deluxe,passive,90,15,1.0,Batch 3 assets/week for body weather logs. Automate posts.,
Gumroad/Ko‑fi – Body Weather Logs – Bundle,active,150,0,1.5,Batch 3 assets/week for body weather logs. Automate posts.,
Gumroad/Ko‑fi – Body Weather Logs – Seasonal,active,150,15,1.5,Batch 3 assets/week for body weather logs. Automate posts.,
Gumroad/Ko‑fi – Body Weather Logs – Collab,active,180,40,0.5,Batch 3 assets/week for body weather logs. Automate posts.,
Gumroad/Ko‑fi – Body Weather Logs – Limited,active,120,0,3.0,Batch 3 assets/week for body weather logs. Automate posts.,
YouTube Faceless – Animated Summaries – Set A,passive,180,10,2.0,Batch 3 assets/week for animated summaries. Automate posts.,
YouTube Faceless – Animated Summaries – Set B,passive,60,0,1.0,Batch 3 assets/week for animated summaries. Automate posts.,
YouTube Faceless – Animated Summaries – Set C,active,25,0,2.0,Batch 3 assets/week for animated summaries. Automate posts.,
YouTube Faceless – Animated Summaries – Micro,active,150,15,1.0,Batch 3 assets/week for animated summaries. Automate posts.,
YouTube Faceless – Animated Summaries – Starter,passive,25,0,0.5,Batch 3 assets/week for animated summaries. Automate posts.,
YouTube Faceless – Animated Summaries – Deluxe,passive,180,15,2.0,Batch 3 assets/week for animated summaries. Automate posts.,
YouTube Faceless – Animated Summaries – Bundle,passive,90,15,1.0,Batch 3 assets/week for animated summaries. Automate posts.,
YouTube Faceless – Animated Summaries – Seasonal,active,90,0,2.0,Batch 3 assets/week for animated summaries. Automate posts.,
YouTube Faceless – Animated Summaries – Collab,active,60,15,1.5,Batch 3 assets/week for animated summaries. Automate posts.,
YouTube Faceless – Animated Summaries – Limited,passive,180,10,1.5,Batch 3 assets/week for animated summaries. Automate posts.,
YouTube Faceless – Relaxing Piano – Set A,passive,75,40,2.0,Batch 3 assets/week for relaxing piano. Automate posts.,
YouTube Faceless – Relaxing Piano – Set B,passive,180,10,1.0,Batch 3 assets/week for relaxing piano. Automate posts.,
YouTube Faceless – Relaxing Piano – Set C,active,60,0,2.0,Batch 3 assets/week for relaxing piano. Automate posts.,
YouTube Faceless – Relaxing Piano – Micro,passive,75,0,0.5,Batch 3 assets/week for relaxing piano. Automate posts.,
YouTube Faceless – Relaxing Piano – Starter,active,150,25,2.0,Batch 3 assets/week for relaxing piano. Automate posts.,
YouTube Faceless – Relaxing Piano – Deluxe,passive,120,15,3.0,Batch 3 assets/week for relaxing piano. Automate posts.,
YouTube Faceless – Relaxing Piano – Bundle,passive,150,25,1.0,Batch 3 assets/week for relaxing piano. Automate posts.,
YouTube Faceless – Relaxing Piano – Seasonal,active,90,0,0.5,Batch 3 assets/week for relaxing piano. Automate posts.,
YouTube Faceless – Relaxing Piano – Collab,passive,75,25,3.0,Batch 3 assets/week for relaxing piano. Automate posts.,
YouTube Faceless – Relaxing Piano – Limited,active,90,40,1.0,Batch 3 assets/week for relaxing piano. Automate posts.,
YouTube Faceless – Study With Me – Set A,passive,150,40,2.0,Batch 3 assets/week for study with me. Automate posts.,
YouTube Faceless – Study With Me – Set B,passive,150,0,3.0,Batch 3 assets/week for study with me. Automate posts.,
YouTube Faceless – Study With Me – Set C,active,90,40,1.0,Batch 3 assets/week for study with me. Automate posts.,
YouTube Faceless – Study With Me – Micro,active,60,15,1.0,Batch 3 assets/week for study with me. Automate posts.,
YouTube Faceless – Study With Me – Starter,passive,180,0,1.5,Batch 3 assets/week for study with me. Automate posts.,
YouTube Faceless – Study With Me – Deluxe,passive,90,10,0.5,Batch 3 assets/week for study with me. Automate posts.,
YouTube Faceless – Study With Me – Bundle,passive,120,0,1.0,Batch 3 assets/week for study with me. Automate posts.,
YouTube Faceless – Study With Me – Seasonal,active,180,0,1.5,Batch 3 assets/week for study with me. Automate posts.,
YouTube Faceless – Study With Me – Collab,passive,150,0,1.0,Batch 3 assets/week for study with me. Automate posts.,
YouTube Faceless – Study With Me – Limited,active,90,0,2.0,Batch 3 assets/week for study with me. Automate posts.,
YouTube Faceless – Ambient Rain – Set A,active,35,0,2.0,Batch 3 assets/week for ambient rain. Automate posts.,
YouTube Faceless – Ambient Rain – Set B,passive,180,25,2.0,Batch 3 assets/week for ambient rain. Automate posts.,
YouTube Faceless – Ambient Rain – Set C,active,150,40,3.0,Batch 3 assets/week for ambient rain. Automate posts.,
YouTube Faceless – Ambient Rain – Micro,active,45,25,1.5,Batch 3 assets/week for ambient rain. Automate posts.,
YouTube Faceless – Ambient Rain – Starter,active,180,0,2.0,Batch 3 assets/week for ambient rain. Automate posts.,
YouTube Faceless – Ambient Rain – Deluxe,passive,60,0,2.0,Batch 3 assets/week for ambient rain. Automate posts.,
YouTube Faceless – Ambient Rain – Bundle,active,60,0,2.0,Batch 3 assets/week for ambient rain. Automate posts.,
YouTube Faceless – Ambient Rain – Seasonal,passive,45,10,0.5,Batch 3 assets/week for ambient rain. Automate posts.,
YouTube Faceless – Ambient Rain – Collab,active,120,10,0.5,Batch 3 assets/week for ambient rain. Automate posts.,
YouTube Faceless – Ambient Rain – Limited,active,120,40,1.5,Batch 3 assets/week for ambient rain. Automate posts.,
YouTube Faceless – Queer History Bytes – Set A,passive,120,25,0.5,Batch 3 assets/week for queer history bytes. Automate posts.,
YouTube Faceless – Queer History Bytes – Set B,passive,25,10,0.5,Batch 3 assets/week for queer history bytes. Automate posts.,
YouTube Faceless – Queer History Bytes – Set C,active,75,0,1.0,Batch 3 assets/week for queer history bytes. Automate posts.,
YouTube Faceless – Queer History Bytes – Micro,passive,120,40,1.0,Batch 3 assets/week for queer history bytes. Automate posts.,
YouTube Faceless – Queer History Bytes – Starter,active,45,10,1.0,Batch 3 assets/week for queer history bytes. Automate posts.,
YouTube Faceless – Queer History Bytes – Deluxe,active,45,40,3.0,Batch 3 assets/week for queer history bytes. Automate posts.,
YouTube Faceless – Queer History Bytes – Bundle,passive,45,0,1.5,Batch 3 assets/week for queer history bytes. Automate posts.,
YouTube Faceless – Queer History Bytes – Seasonal,passive,45,25,1.5,Batch 3 assets/week for queer history bytes. Automate posts.,
YouTube Faceless – Queer History Bytes – Collab,passive,75,40,1.0,Batch 3 assets/week for queer history bytes. Automate posts.,
YouTube Faceless – Queer History Bytes – Limited,passive,90,0,1.0,Batch 3 assets/week for queer history bytes. Automate posts.,
YouTube Faceless – Chill Lo‑Fi – Set A,active,35,0,1.0,Batch 3 assets/week for chill lo‑fi. Automate posts.,
YouTube Faceless – Chill Lo‑Fi – Set B,active,45,10,0.5,Batch 3 assets/week for chill lo‑fi. Automate posts.,
YouTube Faceless – Chill Lo‑Fi – Set C,passive,90,0,3.0,Batch 3 assets/week for chill lo‑fi. Automate posts.,
YouTube Faceless – Chill Lo‑Fi – Micro,active,45,25,3.0,Batch 3 assets/week for chill lo‑fi. Automate posts.,
YouTube Faceless – Chill Lo‑Fi – Starter,passive,25,0,1.0,Batch 3 assets/week for chill lo‑fi. Automate posts.,
YouTube Faceless – Chill Lo‑Fi – Deluxe,passive,35,25,2.0,Batch 3 assets/week for chill lo‑fi. Automate posts.,
YouTube Faceless – Chill Lo‑Fi – Bundle,active,25,25,1.0,Batch 3 assets/week for chill lo‑fi. Automate posts.,
YouTube Faceless – Chill Lo‑Fi – Seasonal,active,60,25,1.0,Batch 3 assets/week for chill lo‑fi. Automate posts.,
YouTube Faceless – Chill Lo‑Fi – Collab,active,75,15,1.0,Batch 3 assets/week for chill lo‑fi. Automate posts.,
YouTube Faceless – Chill Lo‑Fi – Limited,active,90,10,2.0,Batch 3 assets/week for chill lo‑fi. Automate posts.,
YouTube Faceless – Soundscapes – Set A,active,120,10,1.5,Batch 3 assets/week for soundscapes. Automate posts.,
YouTube Faceless – Soundscapes – Set B,active,75,10,1.5,Batch 3 assets/week for soundscapes. Automate posts.,
YouTube Faceless – Soundscapes – Set C,passive,75,40,2.0,Batch 3 assets/week for soundscapes. Automate posts.,
YouTube Faceless – Soundscapes – Micro,active,35,10,2.0,Batch 3 assets/week for soundscapes. Automate posts.,
YouTube Faceless – Soundscapes – Starter,active,120,40,1.5,Batch 3 assets/week for soundscapes. Automate posts.,
YouTube Faceless – Soundscapes – Deluxe,passive,75,25,0.5,Batch 3 assets/week for soundscapes. Automate posts.,
YouTube Faceless – Soundscapes – Bundle,passive,35,0,0.5,Batch 3 assets/week for soundscapes. Automate posts.,
YouTube Faceless – Soundscapes – Seasonal,passive,35,25,1.0,Batch 3 assets/week for soundscapes. Automate posts.,
YouTube Faceless – Soundscapes – Collab,passive,60,40,0.5,Batch 3 assets/week for soundscapes. Automate posts.,
YouTube Faceless – Soundscapes – Limited,active,35,25,2.0,Batch 3 assets/week for soundscapes. Automate posts.,
YouTube Faceless – Timer Pomodoros – Set A,active,90,15,1.5,Batch 3 assets/week for timer pomodoros. Automate posts.,
YouTube Faceless – Timer Pomodoros – Set B,active,180,0,1.5,Batch 3 assets/week for timer pomodoros. Automate posts.,
YouTube Faceless – Timer Pomodoros – Set C,active,75,25,1.5,Batch 3 assets/week for timer pomodoros. Automate posts.,
YouTube Faceless – Timer Pomodoros – Micro,active,90,25,2.0,Batch 3 assets/week for timer pomodoros. Automate posts.,
YouTube Faceless – Timer Pomodoros – Starter,active,120,25,2.0,Batch 3 assets/week for timer pomodoros. Automate posts.,
YouTube Faceless – Timer Pomodoros – Deluxe,active,150,0,2.0,Batch 3 assets/week for timer pomodoros. Automate posts.,
YouTube Faceless – Timer Pomodoros – Bundle,passive,75,0,2.0,Batch 3 assets/week for timer pomodoros. Automate posts.,
YouTube Faceless – Timer Pomodoros – Seasonal,passive,35,0,2.0,Batch 3 assets/week for timer pomodoros. Automate posts.,
YouTube Faceless – Timer Pomodoros – Collab,passive,45,25,1.5,Batch 3 assets/week for timer pomodoros. Automate posts.,
YouTube Faceless – Timer Pomodoros – Limited,active,90,10,0.5,Batch 3 assets/week for timer pomodoros. Automate posts.,
YouTube Faceless – Calming Crafts – Set A,passive,120,0,0.5,Batch 3 assets/week for calming crafts. Automate posts.,
YouTube Faceless – Calming Crafts – Set B,active,60,25,1.0,Batch 3 assets/week for calming crafts. Automate posts.,
YouTube Faceless – Calming Crafts – Set C,passive,150,0,2.0,Batch 3 assets/week for calming crafts. Automate posts.,
YouTube Faceless – Calming Crafts – Micro,passive,35,10,2.0,Batch 3 assets/week for calming crafts. Automate posts.,
YouTube Faceless – Calming Crafts – Starter,passive,75,25,1.0,Batch 3 assets/week for calming crafts. Automate posts.,
YouTube Faceless – Calming Crafts – Deluxe,active,35,10,3.0,Batch 3 assets/week for calming crafts. Automate posts.,
YouTube Faceless – Calming Crafts – Bundle,active,90,25,0.5,Batch 3 assets/week for calming crafts. Automate posts.,
YouTube Faceless – Calming Crafts – Seasonal,passive,90,15,1.0,Batch 3 assets/week for calming crafts. Automate posts.,
YouTube Faceless – Calming Crafts – Collab,active,180,15,1.0,Batch 3 assets/week for calming crafts. Automate posts.,
YouTube Faceless – Calming Crafts – Limited,passive,60,25,1.0,Batch 3 assets/week for calming crafts. Automate posts.,
YouTube Faceless – Sleep Stories – Set A,passive,120,0,3.0,Batch 3 assets/week for sleep stories. Automate posts.,
YouTube Faceless – Sleep Stories – Set B,active,120,0,1.5,Batch 3 assets/week for sleep stories. Automate posts.,
YouTube Faceless – Sleep Stories – Set C,active,120,25,2.0,Batch 3 assets/week for sleep stories. Automate posts.,
YouTube Faceless – Sleep Stories – Micro,passive,60,0,1.0,Batch 3 assets/week for sleep stories. Automate posts.,
YouTube Faceless – Sleep Stories – Starter,passive,60,0,1.0,Batch 3 assets/week for sleep stories. Automate posts.,
YouTube Faceless – Sleep Stories – Deluxe,active,90,0,3.0,Batch 3 assets/week for sleep stories. Automate posts.,
YouTube Faceless – Sleep Stories – Bundle,active,90,40,1.0,Batch 3 assets/week for sleep stories. Automate posts.,
YouTube Faceless – Sleep Stories – Seasonal,passive,60,0,2.0,Batch 3 assets/week for sleep stories. Automate posts.,
YouTube Faceless – Sleep Stories – Collab,passive,60,10,2.0,Batch 3 assets/week for sleep stories. Automate posts.,
YouTube Faceless – Sleep Stories – Limited,passive,120,0,2.0,Batch 3 assets/week for sleep stories. Automate posts.,
Blog + Ads – Chronic Illness Tips – Set A,passive,35,25,2.0,Batch 3 assets/week for chronic illness tips. Automate posts.,
Blog + Ads – Chronic Illness Tips – Set B,passive,60,40,1.0,Batch 3 assets/week for chronic illness tips. Automate posts.,
Blog + Ads – Chronic Illness Tips – Set C,passive,25,10,1.5,Batch 3 assets/week for chronic illness tips. Automate posts.,
Blog + Ads – Chronic Illness Tips – Micro,active,180,15,2.0,Batch 3 assets/week for chronic illness tips. Automate posts.,
Blog + Ads – Chronic Illness Tips – Starter,active,150,15,3.0,Batch 3 assets/week for chronic illness tips. Automate posts.,
Blog + Ads – Chronic Illness Tips – Deluxe,passive,180,25,3.0,Batch 3 assets/week for chronic illness tips. Automate posts.,
Blog + Ads – Chronic Illness Tips – Bundle,active,150,25,2.0,Batch 3 assets/week for chronic illness tips. Automate posts.,
Blog + Ads – Chronic Illness Tips – Seasonal,active,45,0,3.0,Batch 3 assets/week for chronic illness tips. Automate posts.,
Blog + Ads – Chronic Illness Tips – Collab,passive,45,40,1.0,Batch 3 assets/week for chronic illness tips. Automate posts.,
Blog + Ads – Chronic Illness Tips – Limited,active,180,25,1.0,Batch 3 assets/week for chronic illness tips. Automate posts.,
Blog + Ads – Trauma‑Informed Budgeting – Set A,passive,150,0,3.0,Batch 3 assets/week for trauma‑informed budgeting. Automate posts.,
Blog + Ads – Trauma‑Informed Budgeting – Set B,passive,120,25,1.5,Batch 3 assets/week for trauma‑informed budgeting. Automate posts.,
Blog + Ads – Trauma‑Informed Budgeting – Set C,active,150,0,0.5,Batch 3 assets/week for trauma‑informed budgeting. Automate posts.,
Blog + Ads – Trauma‑Informed Budgeting – Micro,active,75,0,0.5,Batch 3 assets/week for trauma‑informed budgeting. Automate posts.,
Blog + Ads – Trauma‑Informed Budgeting – Starter,passive,120,0,2.0,Batch 3 assets/week for trauma‑informed budgeting. Automate posts.,
Blog + Ads – Trauma‑Informed Budgeting – Deluxe,active,150,25,2.0,Batch 3 assets/week for trauma‑informed budgeting. Automate posts.,
Blog + Ads – Trauma‑Informed Budgeting – Bundle,passive,150,15,1.5,Batch 3 assets/week for trauma‑informed budgeting. Automate posts.,
Blog + Ads – Trauma‑Informed Budgeting – Seasonal,passive,150,0,0.5,Batch 3 assets/week for trauma‑informed budgeting. Automate posts.,
Blog + Ads – Trauma‑Informed Budgeting – Collab,passive,60,25,1.0,Batch 3 assets/week for trauma‑informed budgeting. Automate posts.,
Blog + Ads – Trauma‑Informed Budgeting – Limited,active,25,0,0.5,Batch 3 assets/week for trauma‑informed budgeting. Automate posts.,
Blog + Ads – Accessible Fashion – Set A,active,60,0,3.0,Batch 3 assets/week for accessible fashion. Automate posts.,
Blog + Ads – Accessible Fashion – Set B,active,45,15,3.0,Batch 3 assets/week for accessible fashion. Automate posts.,
Blog + Ads – Accessible Fashion – Set C,active,45,15,0.5,Batch 3 assets/week for accessible fashion. Automate posts.,
Blog + Ads – Accessible Fashion – Micro,passive,150,0,2.0,Batch 3 assets/week for accessible fashion. Automate posts.,
Blog + Ads – Accessible Fashion – Starter,active,150,15,1.0,Batch 3 assets/week for accessible fashion. Automate posts.,
Blog + Ads – Accessible Fashion – Deluxe,passive,35,10,3.0,Batch 3 assets/week for accessible fashion. Automate posts.,
Blog + Ads – Accessible Fashion – Bundle,active,180,15,1.0,Batch 3 assets/week for accessible fashion. Automate posts.,
Blog + Ads – Accessible Fashion – Seasonal,passive,25,25,2.0,Batch 3 assets/week for accessible fashion. Automate posts.,
Blog + Ads – Accessible Fashion – Collab,active,45,40,1.0,Batch 3 assets/week for accessible fashion. Automate posts.,
Blog + Ads – Accessible Fashion – Limited,passive,180,10,1.0,Batch 3 assets/week for accessible fashion. Automate posts.,
Blog + Ads – ADHD Tools – Set A,passive,75,0,1.0,Batch 3 assets/week for adhd tools. Automate posts.,
Blog + Ads – ADHD Tools – Set B,active,25,25,2.0,Batch 3 assets/week for adhd tools. Automate posts.,
Blog + Ads – ADHD Tools – Set C,passive,75,0,1.0,Batch 3 assets/week for adhd tools. Automate posts.,
Blog + Ads – ADHD Tools – Micro,passive,90,0,3.0,Batch 3 assets/week for adhd tools. Automate posts.,
Blog + Ads – ADHD Tools – Starter,active,150,40,2.0,Batch 3 assets/week for adhd tools. Automate posts.,
Blog + Ads – ADHD Tools – Deluxe,active,60,0,0.5,Batch 3 assets/week for adhd tools. Automate posts.,
Blog + Ads – ADHD Tools – Bundle,passive,45,0,0.5,Batch 3 assets/week for adhd tools. Automate posts.,
Blog + Ads – ADHD Tools – Seasonal,passive,180,15,1.5,Batch 3 assets/week for adhd tools. Automate posts.,
Blog + Ads – ADHD Tools – Collab,passive,150,15,2.0,Batch 3 assets/week for adhd tools. Automate posts.,
Blog + Ads – ADHD Tools – Limited,active,150,0,2.0,Batch 3 assets/week for adhd tools. Automate posts.,
Blog + Ads – Anime Recaps – Set A,passive,45,0,1.0,Batch 3 assets/week for anime recaps. Automate posts.,
Blog + Ads – Anime Recaps – Set B,passive,60,0,2.0,Batch 3 assets/week for anime recaps. Automate posts.,
Blog + Ads – Anime Recaps – Set C,passive,60,0,1.0,Batch 3 assets/week for anime recaps. Automate posts.,
Blog + Ads – Anime Recaps – Micro,passive,90,40,1.5,Batch 3 assets/week for anime recaps. Automate posts.,
Blog + Ads – Anime Recaps – Starter,active,90,0,3.0,Batch 3 assets/week for anime recaps. Automate posts.,
Blog + Ads – Anime Recaps – Deluxe,passive,90,40,1.0,Batch 3 assets/week for anime recaps. Automate posts.,
Blog + Ads – Anime Recaps – Bundle,passive,90,15,1.0,Batch 3 assets/week for anime recaps. Automate posts.,
Blog + Ads – Anime Recaps – Seasonal,active,180,25,1.0,Batch 3 assets/week for anime recaps. Automate posts.,
Blog + Ads – Anime Recaps – Collab,passive,35,0,2.0,Batch 3 assets/week for anime recaps. Automate posts.,
Blog + Ads – Anime Recaps – Limited,passive,150,0,0.5,Batch 3 assets/week for anime recaps. Automate posts.,
Blog + Ads – K‑Drama Notes – Set A,active,25,40,2.0,Batch 3 assets/week for k‑drama notes. Automate posts.,
Blog + Ads – K‑Drama Notes – Set B,passive,45,15,1.5,Batch 3 assets/week for k‑drama notes. Automate posts.,
Blog + Ads – K‑Drama Notes – Set C,active,75,40,0.5,Batch 3 assets/week for k‑drama notes. Automate posts.,
Blog + Ads – K‑Drama Notes – Micro,active,180,10,2.0,Batch 3 assets/week for k‑drama notes. Automate posts.,
Blog + Ads – K‑Drama Notes – Starter,passive,90,15,3.0,Batch 3 assets/week for k‑drama notes. Automate posts.,
Blog + Ads – K‑Drama Notes – Deluxe,passive,45,25,0.5,Batch 3 assets/week for k‑drama notes. Automate posts.,
Blog + Ads – K‑Drama Notes – Bundle,active,35,40,1.5,Batch 3 assets/week for k‑drama notes. Automate posts.,
Blog + Ads – K‑Drama Notes – Seasonal,passive,25,0,1.0,Batch 3 assets/week for k‑drama notes. Automate posts.,
Blog + Ads – K‑Drama Notes – Collab,active,75,0,1.5,Batch 3 assets/week for k‑drama notes. Automate posts.,
Blog + Ads – K‑Drama Notes – Limited,active,180,0,0.5,Batch 3 assets/week for k‑drama notes. Automate posts.,
Blog + Ads – Disability Rights – Set A,active,35,40,1.5,Batch 3 assets/week for disability rights. Automate posts.,
Blog + Ads – Disability Rights – Set B,passive,180,0,2.0,Batch 3 assets/week for disability rights. Automate posts.,
Blog + Ads – Disability Rights – Set C,passive,90,0,1.5,Batch 3 assets/week for disability rights. Automate posts.,
Blog + Ads – Disability Rights – Micro,active,75,0,1.0,Batch 3 assets/week for disability rights. Automate posts.,
Blog + Ads – Disability Rights – Starter,active,60,15,1.0,Batch 3 assets/week for disability rights. Automate posts.,
Blog + Ads – Disability Rights – Deluxe,passive,90,0,2.0,Batch 3 assets/week for disability rights. Automate posts.,
Blog + Ads – Disability Rights – Bundle,passive,120,0,3.0,Batch 3 assets/week for disability rights. Automate posts.,
Blog + Ads – Disability Rights – Seasonal,passive,150,0,1.5,Batch 3 assets/week for disability rights. Automate posts.,
Blog + Ads – Disability Rights – Collab,active,150,40,2.0,Batch 3 assets/week for disability rights. Automate posts.,
Blog + Ads – Disability Rights – Limited,active,75,0,1.5,Batch 3 assets/week for disability rights. Automate posts.,
Blog + Ads – Black Theory 101 – Set A,active,120,15,2.0,Batch 3 assets/week for black theory 101. Automate posts.,
